id	chapter	japanese	full_english	glossary_references	notes
completion.009fdfd0	village_celebration	ネネ「ポポロ。　お父さんは　あなたを<LF><TAB>助けるために　遠くまで<LF><TAB>旅してきて　つかれてるのよ。	"Tessie: ""Tipper, your father traveled a long way to help you. He's tired."""	enemy_tipper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009fe02c	village_celebration	ポポロ「村の皆が　お祝いしてくれるって<LF><TAB>ボクたちを　待ってるよ。<LF><TAB>さあ　行こうよ。	"Tipper: ""Everyone in the village is waiting to celebrate with us. Come on, let's go!"""	enemy_tipper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009fe080	village_celebration	ポポロ「やっと　起きたね　パパ。<LF><TAB>ボクが　起きたら　今度は<LF><TAB>パパが　寝ちゃってさ。	"Tipper: ""You're finally awake, Dad! Just when I woke up, you went to sleep!"""	enemy_tipper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009fe104	village_celebration	ネネ「あなたが　王さまに　いただいた家も<LF><TAB>お店も　見に行くのが　楽しみよ。<LF><TAB>もう　なんの心配もないわね。	"Tessie: ""I can't wait to see the house and shop the king gave you. We have nothing to worry about now."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009fe170	village_celebration	ネネ「あなたが　帰ってきてくれて<LF><TAB>ポポロも　元気になったし<LF><TAB>本当に　うれしいわ。	"Tessie: ""You're home, and Tipper's well again. I'm so happy."""	enemy_tipper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009fe32c	village_celebration	ネネ「そうね。　明日も　早いし<LF><TAB>今夜は　もう　休みましょう。	"Tessie: ""Yes. We have an early start tomorrow. Let's get some rest."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009fe36c	village_celebration	ネネ「そう？　それじゃ　ゆっくり<LF><TAB>楽しんできてね。	"Tessie: ""Really? Then take your time and enjoy yourself."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009fe3a0	village_celebration	ネネ「お祝いしてくださってる　皆さんには<LF><TAB>悪いけど　あなたも　眠いなら<LF><TAB>そろそろ　ベッドに入る？	"Tessie: ""I feel bad leaving our celebration, but if you're sleepy too, shall we go to bed?"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009fe404	village_celebration	ネネ「こっくり　こっくり　……はっ！<LF><TAB>あら　やだ。　安心したら<LF><TAB>うたた寝　しちゃったみたい。	"Tessie: ""...Zzz... Oh! How embarrassing. Now I can relax, I seem to have dozed off."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.009ff4bc	village_celebration	＊「おや　トルネコさんに　ポポロちゃん。<LF><TAB>ほんに　よかったですね。<LF><TAB>奥さまも　これで　ご安心でしょう。	"???: ""Oh, Torneko and Tipper! I'm so glad. Your wife must be relieved, too."""	torneko,enemy_tipper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0ac38	costa_libera	”いらっしゃいませ！<LF>　旅と文化の港　コスタリベラへ”	'Welcome to Costa Libera, port of travel and culture!'	place.journey.00873188	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0ac70	costa_libera	$tは　看板の文字を読んだ。	$t read the sign.	torneko,enemy_tipper	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0acd4	costa_libera	“ようこそ　トルネコの店<LF>　コスタリベラ支店へ！”	'Welcome to Torneko's shop, Costa Libera branch!'	torneko,place.journey.00873188	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0ad08	costa_libera	“グレートバレイナ王　管理地。<LF>無断立ち入りを禁ず”	'Property of the King of Great Baleina. No unauthorized entry.'		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0b23c	costa_libera	＊「やあ　こんちは！<LF><TAB>ここは　港町コスタリベラだ。	"???: ""Hello there! This is the port town of Costa Libera."""	place.journey.00873188	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b2d8	costa_libera	＊「さあ　さあ　いらっしゃい！<LF><TAB>今　港に　到着したばかりの<LF><TAB>貴重な　舶来品だよ！	"???: ""Come one, come all! Rare imports, fresh off the ship!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b364	costa_libera	＊「あら　すてきなお客さん！<LF><TAB>ただ今　特別サービス中ですよ～。	"???: ""Oh, what a lovely customer! We're offering special service today!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Keep sales pitch without inventing a numerical discount. Anonymous speaker remains ???.
completion.00a0b3d4	costa_libera	＊「あっ　あんた　旅の人だろ？<LF><TAB>この向かいの店では<LF><TAB>買わないほうがいいよ！	"???: ""Hey, you're a traveler, right? I'd avoid buying from the shop opposite!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b420	costa_libera	＊「さあ　さあ！<LF><TAB>とれたての魚だよ！<LF><TAB>もう　ピチピチだよ！	"???: ""Come and get your freshly caught fish! Still flipping and flapping!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b4a4	costa_libera	＊「今日のおかずは<LF><TAB>何にしようかしらねえ……。	"???: ""What shall I cook today...?"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b504	costa_libera	＊「ここ　温泉プールだったら<LF><TAB>いつでも　入れるのになあ……。	"???: ""If this pool were fed by a hot spring, we could use it any time of year..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b574	costa_libera	＊「最近の　若い船乗りは<LF><TAB>まったく　なっとらんわ！<LF><TAB>そもそも　昔は……　ぶつぶつ。	"???: ""Young sailors today are hopeless! Now, in the old days... Grumble, grumble."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b600	costa_libera	＊「もうトシだからって　王さまの船を<LF><TAB>おろされたのが　よほど<LF><TAB>くやしかったのね。	"???: ""He was terribly upset to be taken off the king's ship just because he was too old."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b654	costa_libera	＊「おじいさんったら　最近<LF><TAB>グチばっかり……。	"???: ""My husband does nothing but complain these days..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b6bc	costa_libera	＊「この店と　宿を　ほったらかして<LF><TAB>まったく　しょうがない人だわ。	"???: ""Leaving the shop and inn to fend for themselves! Honestly, that man..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b700	costa_libera	＊「うちの父ったら　商売を大きくする<LF><TAB>とか言って　旅に出ちゃったんです。	"???: ""My father went off traveling, saying he wanted to expand the business."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b7ac	costa_libera	＊「ゴロゴロゴロ……。	"???: ""Purrr..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b89c	costa_libera	＊「そうか　分かったんなら<LF><TAB>あっちへ　行ってくれ。	"???: ""Right, if you understand, go away."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b8d0	costa_libera	＊「ねえ　いいだろ？　　マリンちゃん。<LF><TAB>ちょっとだけ　だからさあ。	"???: ""Come on, Marin. Please? Just for a little while."""	character.marin	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b914	costa_libera	＊「と　思ったら　持ち物が<LF><TAB>いっぱいじゃん……。	"???: ""Oh, but your bag's full..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b948	costa_libera	＊「ああ　もう　うるさいな！<LF><TAB>分かったよ　これ　あげるから<LF><TAB>あっち行ってよねっ？　ねっ？	"???: ""Oh, stop pestering me! Fine, take this and go away. Please? Please?"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0b9a4	costa_libera	＊「何だよ　今　いいところなんだから<LF><TAB>ジャマすんなよな！	"???: ""What do you want? Things were just getting good. Don't interrupt!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0ba30	costa_libera	兵士長「どうやら　ここには<LF><TAB>売っていないようだな。	"Captain: ""It seems they don't sell it here."""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0ba64	costa_libera	兵士長「グレートバレイナ王の　つかいで<LF><TAB>ある品を　さがしに来たのだが…	"Captain: ""The king of Great Baleina sent me to find a certain item, but..."""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0badc	costa_libera	＊「おやつ　まだかなあ……。	"???: ""Is it snack time yet...?"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0bbc4	costa_libera	兵士長「ああ　いや　なんでもない。<LF><TAB>では　よろしく　たのんだぞ。	"Captain: ""Oh, no, never mind. I leave it in your hands."""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0bc08	costa_libera	兵士長「ただし　しんちょうにな。<LF><TAB>王さまは　王妃さまのこととなると<LF><TAB>人が　変わったように……	"Captain: ""But be careful. When it comes to the queen, His Majesty becomes a different man..."""	role.captain,role.king,role.queen	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0bc68	costa_libera	兵士長「おぬしのような商人が　言えば<LF><TAB>王さまも　若がえりのクスリのことは<LF><TAB>あきらめなさるかもしれん。	"Captain: ""If a merchant like you told him, the king might give up on finding a potion of youth."""	role.captain,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0bcd0	costa_libera	兵士長「おぬしのような商人が　言えば<LF><TAB>王さまも　あきらめなさるかもしれん。<LF><TAB>よろしく　たのんだぞ。	"Captain: ""If a merchant like you told him, the king might give up. I'm counting on you."""	role.captain,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0bd34	costa_libera	兵士長「うむ！　これも　何かの縁だろう。<LF><TAB>おぬしから　王さまに<LF><TAB>お伝えしてくれぬか？	"Captain: ""Yes! Perhaps we were meant to meet. Would you tell the king for me?"""	role.captain,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0bd8c	costa_libera	兵士長「たぶん　そんなクスリがないことは<LF><TAB>私も　わかっているのだが　王さまに<LF><TAB>お伝えするのが　つらくてなあ。	"Captain: ""I know there's probably no such medicine. But it's so hard to tell His Majesty."""	role.captain,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0bdfc	costa_libera	兵士長「なんと　じょうだんか……。<LF><TAB>おぬしも　人が悪いぞ。	"Captain: ""What, you were joking? That was unkind of you."""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0be38	costa_libera	しかし　トルネコは　これといって<LF>そんな場所を　知らなかった！	But Torneko didn't actually know of any such place!	torneko	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0be78	costa_libera	兵士長「いや　実は　若がえりのクスリを<LF><TAB>さがしているのだが　どこか<LF><TAB>手に入る場所を　知っているかね？	"Captain: ""Well, I'm looking for a potion of youth. Do you know where I might find one?"""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0bee0	costa_libera	兵士長「うん？　そういえば　おぬしも<LF><TAB>見たところ　商人ではないのか？<LF><TAB>しかも　旅なれているようだが。	"Captain: ""Hmm? Come to think of it, you look like a merchant yourself. A seasoned traveler, too."""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0bf48	costa_libera	兵士長「どの店でも　売っていないし<LF><TAB>旅の商人たちも　知らぬようだ。<LF><TAB>う～む　こまった……。	"Captain: ""No shop sells it, and the traveling merchants know nothing. Hmm, what a problem..."""	role.captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0bfd4	costa_libera	＊「おなか　へったよお。<LF><TAB>ごはん　まだかなあ……。	"???: ""I'm hungry. Is the food ready yet...?"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c0e0	costa_libera	＊「さあ　さあ　いらっしゃい！<LF><TAB>貴重な　舶来品は　あと<LF><TAB>少ししか　のこってないよ！	"???: ""Come one, come all! Only a few of our rare imports left!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c1bc	costa_libera	＊「あれ？　あんた　トルネコさんだろ。<LF><TAB>今度　店を　ひらくんだってね。<LF><TAB>期待してるよ！	"???: ""Oh, you're Torneko, aren't you? I hear you're opening a shop. I can't wait!"""	torneko	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c214	costa_libera	＊「港の出店が　終わると<LF><TAB>このへんも　さみしくなるなあ……	"???: ""It'll be lonely here once the harbor stalls pack up..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c280	costa_libera	＊「むにゃ　むにゃ…<LF><TAB>おじいちゃん　ごはんですよ！<LF><TAB>うと…　うと…。	"???: ""Mmm... Grandpa, your food's ready! ...Zzz..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Drowsy line preserved without assigning an unstated speaker identity. Anonymous speaker remains ???.
completion.00a0c2f8	costa_libera	＊「ここを　こんよく露天風呂にしたら<LF><TAB>いいと思ったんだけど<LF><TAB>神父さんに反対されちゃったよ。	"???: ""I thought we could make this an open-air bath for everyone, but the priest objected."""	role.priest	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Mixed bathing rendered as for everyone; preserve proposal and priest's objection. Anonymous speaker remains ???.
completion.00a0c394	costa_libera	＊「それで　ベテランの　おじいさんが<LF><TAB>船長として　呼ばれたんですのよ。<LF><TAB>本当に　ありがとうございます。	"???: ""They called my husband back as captain for his experience. Thank you so much."""	role.ship_captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c3fc	costa_libera	＊「なんでも　トルネコさんを　送るため<LF><TAB>王さまの　船が　はるか　南の島へ<LF><TAB>行くことに　なったとか。	"???: ""I hear the king's ship is taking you to an island far to the south, Torneko."""	torneko,role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c460	costa_libera	＊「おや　あなたは　トルネコさんね？<LF><TAB>うちの　おじいさんに　代わって<LF><TAB>お礼を　言いますよ。	"???: ""Oh, you're Torneko, aren't you? Let me thank you on my husband's behalf."""	torneko	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c53c	costa_libera	＊「お互い　同業者として<LF><TAB>がんばりましょうね。<LF><TAB>それは　さておき……	"???: ""Let's both do our best as fellow merchants. Now, setting that aside..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c584	costa_libera	＊「あら　トルネコさんですね。<LF><TAB>今度　そこに　店を　ひらくんでしょ。	"???: ""Oh, you're Torneko. You're opening a shop over there, aren't you?"""	torneko	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c62c	costa_libera	＊「この　ホットケーキ<LF><TAB>こげてる……。　にがいよう。	"???: ""This pancake is burnt... It tastes bitter."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c694	costa_libera	＊「母さんが　いなくなっても<LF><TAB>父さんが　ついてるからな。<LF><TAB>元気だせよっ。	"???: ""Mom may be gone, but you've still got Dad. Cheer up."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???. Language review: Use American spelling alongside armor, colors and savior.
completion.00a0c740	costa_libera	＊「もし　この家や店が　いらなくなったら<LF><TAB>いつでも　私に　おまかせください。<LF><TAB>わっはっはっは。	"???: ""If you ever tire of this house and shop, just leave them to me. Ha ha ha!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c7a0	costa_libera	＊「しかし　アレですね。<LF><TAB>あなたも　旅が　お好きのようだ。	"???: ""Still, you seem rather fond of traveling yourself."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c7dc	costa_libera	＊「あなた　この家と店を　王さまから<LF><TAB>もらったそうですな。<LF><TAB>いや　うらやましい。	"???: ""I hear the king gave you this house and shop. How I envy you."""	role.king	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0c940	costa_libera	＊「ん？　なんだ　また　あんたか。<LF><TAB>しつこいなあ。　あげるモノは<LF><TAB>もう　ないよ。	"???: ""Hmm? Oh, you again. Persistent, aren't you? I've nothing left to give you."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0cb14	costa_libera	ダグラス「安心して　のんびり<LF><TAB>南の島とやらに　行ってきてくんな。	"Douglas: ""Take your time on that southern island. Leave everything to me."""	character.douglas	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0cb58	costa_libera	ダグラス「だんなが　もどって来るまでに<LF><TAB>開店じゅんびは　このオレが<LF><TAB>ばっちり　すませておくからよ。	"Douglas: ""I'll have this place all ready to open by the time you get back, boss."""	character.douglas	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0cbbc	costa_libera	ダグラス「おっと　もちろん　オレも<LF><TAB>やとってもらえて　感謝してるぜ。	"Douglas: ""Oh, and of course I'm grateful you hired me."""	character.douglas	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0cc04	costa_libera	ダグラス「ずいぶん　いい所じゃねえか。<LF><TAB>だんなも　うまいこと　やったよなあ。	"Douglas: ""Pretty nice place! You did well for yourself, boss."""	character.douglas	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0cc54	costa_libera	ダグラス「おっ　トルネコのだんな！<LF><TAB>やっと　おでましかい？	"Douglas: ""Hey, boss! Finally made it, Torneko?"""	torneko,character.douglas	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0cc90	costa_libera	サムソン「どうぞ　気をつけて<LF><TAB>いってらっしゃいませ！	"Samson: ""Please take care on your journey!"""	character.samson	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0ccc8	costa_libera	サムソン「とりあえず　店長が　南の島から<LF><TAB>もどられるまでには　開店のじゅんびを<LF><TAB>ととのえておきますね。	"Samson: ""I'll have everything ready to open by the time you return from the southern island, sir."""	character.samson	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0cd30	costa_libera	サムソン「このたびは　私を　店員に<LF><TAB>して下さって　ありがとうございます。<LF><TAB>せいいっぱい　がんばります。	"Samson: ""Thank you for hiring me. I'll do my very best."""	character.samson	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 
completion.00a0cd98	costa_libera	サムソン「おお　トルネコ店長！<LF><TAB>お待ちしておりました！	"Samson: ""Ah, Mr. Torneko! I've been waiting for you, sir!"""	torneko,character.samson	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. 店長 conveyed by subordinate's manner, not inserted into the personal name.
completion.00a0ce70	costa_libera	＊「外を　不気味なキリに　おおわれてから<LF><TAB>まるで　凍りつきそうな　寒さだよ。	"???: ""Ever since that eerie mist covered everything, it's been freezing cold."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0cec0	costa_libera	＊「ぶるる……　おお　寒い寒い！<LF><TAB>ここは　港町コスタリベラだ。	"???: ""Brrr... So cold! This is the port town of Costa Libera."""	place.journey.00873188	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0cf20	costa_libera	＊「ゴホゴホ！　はあはあ……。<LF><TAB>つらくても　お客さまのため<LF><TAB>がんばりますわ。	"???: ""Cough, cough! Wheeze... It's hard, but I'll keep going for my customers."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0cf90	costa_libera	＊「お客さんも　こんな時なのに<LF><TAB>がんばりますね。<LF><TAB>あたしも　しっかりやらなくちゃ。	"???: ""You're working hard even at a time like this. I'd better do my best, too."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d00c	costa_libera	＊「う～ん　お客さんかい……？<LF><TAB>貴重な　舶来品なら　あと<LF><TAB>少ししか　のこってないよ～。	"???: ""Mmm, a customer...? Only a few rare imports left..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d0b4	costa_libera	＊「あら　すてきなお客さん！<LF><TAB>こんな時でも　がんばって<LF><TAB>サービスさせていただくわよ～！	"???: ""Oh, what a lovely customer! Even now, I'll do my best to give you special service!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d154	costa_libera	＊「ふにゃ～ん……。	"???: ""Mew..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d19c	costa_libera	＊「もう　プールで泳ぐ気力も<LF><TAB>ないよ……。	"???: ""I don't even have the energy to swim in the pool anymore..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d1c8	costa_libera	＊「ああ　もう　おしまいだ！<LF><TAB>なんでも　ヘルジャスティスとかいう<LF><TAB>すごい魔物が　世界を支配するらしい。	"???: ""Oh, it's all over! I hear some mighty monster called Hell Justice will rule the world."""	enemy_hell_justice	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d268	costa_libera	船長「きっと　この国を　すくってくださる<LF><TAB>トルネコどのを　王の船で　送迎した<LF><TAB>あの　旅のことをな……。	"Captain: ""That voyage, taking Torneko on the king's ship... The man who will surely save this kingdom."""	torneko,role.ship_captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Ship captain, distinct from the army captain despite shared English role label.
completion.00a0d2d0	costa_libera	船長「わしゃ　忘れないぞい！	"Captain: ""I'll never forget it!"""	role.ship_captain	Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning. Ship captain.
completion.00a0d320	costa_libera	＊「この国は　もうだめなのかしら？<LF><TAB>そんなこと　信じたくありませんよ。	"???: ""Is this kingdom truly finished? I don't want to believe it."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d3a0	costa_libera	＊「このままでは　いずれ……<LF><TAB>ああ　考えたくない！	"???: ""If this goes on, someday... Oh, I don't want to think about it!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d3d4	costa_libera	＊「この町の　人びとも<LF><TAB>だいぶ　弱っているようですね。	"???: ""The people of this town seem much weaker, too."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d444	costa_libera	＊「だって　この国が　魔物に<LF><TAB>おそわれそうになるのを　見なくて<LF><TAB>済んだんですもの。	"???: ""At least he didn't have to see this kingdom on the brink of a monster attack."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d498	costa_libera	＊「父が　商売を大きくするって言って<LF><TAB>出て行ったときは　アタマに来たけど<LF><TAB>今にして思えば　よかったのよね。	"???: ""I was angry when Father left to expand the business. But now, perhaps it was for the best."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d584	costa_libera	＊「え～ん！　イジワル～！	"???: ""Waaah! You're mean!"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d5a0	costa_libera	＊「そうだよね。<LF><TAB>そんなこと　ないもんね。	"???: ""You're right. That won't happen."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d5cc	costa_libera	＊「あたしも　モンスターに<LF><TAB>食べられちゃうの？	"???: ""Will the monsters eat me, too?"""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
completion.00a0d654	costa_libera	＊「ああ！　死ぬ前に　一度でいいから<LF><TAB>自分の店を　持ちたかった……。	"???: ""Oh! Just once before I die, I wanted to own a shop..."""		Independent translation from the pinned Japanese GBA script. Preserve original event parameters, protagonist substitutions and page meaning.  Anonymous speaker remains ???.
